Loan_ID,Port_ID,OriginalLoanAmount,OutstandingAmount,CollateralValue,CreditRating
1,4,60000,54202,66000,BB
2,7,80000,68420,84800,BB
3,1,100000,94230,103000,CCC
4,6,40000,26815,40800,B
5,7,20000,12273,20000,AA
6,1,60000,48008,60000,B
7,2,80000,68486,83200,B
8,2,100000,91180,100000,A
9,5,40000,34279,40800,AAA
10,8,20000,15024,20000,AAA
11,8,100000,90288,100000,BBB
12,3,60000,48547,66000,CCC
13,8,40000,28040,43600,B
14,4,20000,18342,20000,A
15,3,40000,26595,41200,A
16,1,60000,51804,62400,AA
17,6,40000,30747,42400,A
18,7,20000,11169,21000,AA
19,6,60000,54353,62400,B
20,4,60000,40708,62400,BBB
21,1,40000,39811,42800,A
22,4,80000,70590,86400,AAA
23,5,40000,29453,40000,CCC
24,5,80000,70810,84800,AA
25,8,40000,25711,43600,AAA
26,3,100000,83763,99000,B
27,3,80000,70492,87200,BB
28,3,40000,39796,43600,B
29,2,100000,93704,106000,CCC
30,8,60000,46561,64200,CCC
31,7,100000,89778,110000,BBB
32,7,100000,84190,105000,A
33,4,40000,31925,43600,B
34,2,60000,53453,63600,AA
35,7,20000,11533,20400,AAA
36,3,100000,93482,110000,B
37,1,60000,55048,59400,BB
38,7,20000,13493,22000,A
39,6,60000,58810,64200,BB
40,8,80000,62620,81600,B
41,7,100000,89468,109000,BBB
42,2,40000,37305,43200,A
43,6,20000,11974,22000,AA
44,7,60000,49794,66000,B
45,1,20000,13694,19800,BB
46,6,80000,63785,87200,AA
47,2,60000,47825,62400,BB
48,6,60000,56110,63000,BBB
49,7,60000,51770,59400,BB
50,5,20000,18035,20400,B
51,8,80000,68523,79200,BB
52,3,100000,88836,102000,B
53,1,100000,95244,110000,AA
54,3,40000,25388,44000,AA
55,4,80000,66626,81600,CCC
56,8,60000,42039,63600,AA
57,4,60000,50384,63600,AA
58,7,60000,45823,62400,AAA
59,7,40000,21468,40400,BB
60,8,20000,15583,21600,BBB
61,4,20000,16969,20400,AAA
62,4,80000,71711,86400,A
63,3,60000,52232,61800,BB
64,1,80000,72252,83200,CCC
65,7,40000,29631,40800,CCC
66,5,80000,60434,85600,A
67,4,100000,81699,110000,BBB
68,5,20000,19606,20200,CCC
69,6,100000,96022,101000,CCC
70,6,40000,36845,40400,A
71,2,80000,74851,86400,A
72,1,80000,77959,84800,AA
